order_date,product,category,region,channel,customer_segment,quantity,unit_price,revenue,profit,rating,is_returned
2023-01-01,Samsung Tab S9,Планшеты,Казань,Маркетплейс,Новый,3,55229,165687,75096,4.2,0
2023-01-01,Dell XPS 15,Ноутбуки,Краснодар,Маркетплейс,Повторный,1,86126,86126,34759,3.6,0
2023-01-01,AirPods Pro 2,Наушники,Санкт-Петербург,Розничный магазин,VIP,2,22793,45586,22361,4.4,0
2023-01-02,Samsung Buds2,Наушники,Новосибирск,Розничный магазин,Новый,5,9414,47070,21732,4.1,0
2023-01-02,Xiaomi 14,Смартфоны,Санкт-Петербург,Маркетплейс,Повторный,2,49886,99772,38328,4.3,0
2023-01-03,Bose QC45,Наушники,Москва,Сайт,Новый,5,26255,131275,67650,4.0,0
2023-01-03,AirPods Pro 2,Наушники,Москва,Маркетплейс,Повторный,2,23290,46580,23663,4.6,0
2023-01-03,MacBook Air M3,Ноутбуки,Москва,Мобильное приложение,Новый,1,117402,117402,44219,3.6,0
2023-01-04,Samsung Galaxy S24,Смартфоны,Екатеринбург,Маркетплейс,Повторный,4,55925,223700,75093,4.0,0
2023-01-04,Bose QC45,Наушники,Санкт-Петербург,Сайт,Повторный,4,21697,86788,42387,4.1,0
2023-01-05,Bose QC45,Наушники,Москва,Сайт,VIP,1,26859,26859,12614,5.0,0
2023-01-05,Sony WH-1000XM5,Наушники,Санкт-Петербург,Сайт,Новый,5,27997,139985,64819,4.5,0
2023-01-05,Samsung Galaxy S24,Смартфоны,Казань,Маркетплейс,Новый,10,59673,596730,222215,3.6,0
2023-01-06,Google Pixel 8,Смартфоны,Санкт-Петербург,Сайт,Новый,1,55674,55674,18704,3.6,0
2023-01-06,Lenovo ThinkPad X1,Ноутбуки,Москва,Розничный магазин,Повторный,5,116633,583165,232029,5.0,0
2023-01-07,Bose QC45,Наушники,Санкт-Петербург,Сайт,Новый,2,23415,46830,20804,4.8,0
2023-01-07,Samsung Galaxy S24,Смартфоны,Москва,Маркетплейс,Новый,11,71190,783090,298684,4.8,0
2023-01-07,Xiaomi 14,Смартфоны,Москва,Мобильное приложение,Новый,5,58831,294155,102101,4.8,0
2023-01-08,ASUS ZenBook,Ноутбуки,Краснодар,Сайт,Новый,1,66438,66438,28694,5.0,0
2023-01-08,Зарядка 65W,Аксессуары,Санкт-Петербург,Сайт,Повторный,7,1774,12418,7013,5.0,0
2023-01-09,Мышь беспроводная,Аксессуары,Москва,Маркетплейс,Новый,9,2143,19287,12848,5.0,0
2023-01-09,iPad Air 5,Планшеты,Краснодар,Мобильное приложение,Новый,8,39318,314544,124044,4.6,0
2023-01-09,ASUS ZenBook,Ноутбуки,Екатеринбург,Сайт,Повторный,1,67375,67375,24794,3.9,0
2023-01-10,Lenovo ThinkPad X1,Ноутбуки,Новосибирск,Розничный магазин,Новый,2,96857,193714,78190,4.3,0
2023-01-10,Xiaomi 14,Смартфоны,Краснодар,Мобильное приложение,VIP,1,50404,50404,19286,4.4,0
2023-01-11,Samsung Tab S9,Планшеты,Казань,Сайт,Повторный,2,51501,103002,42867,4.9,0
2023-01-11,Зарядка 65W,Аксессуары,Москва,Сайт,Повторный,20,1946,38920,21840,4.0,0
2023-01-11,Samsung Tab S9,Планшеты,Москва,Сайт,VIP,2,55791,111582,44222,3.4,1
2023-01-12,iPhone 15 Pro,Смартфоны,Москва,Мобильное приложение,Повторный,4,81029,324116,117117,4.2,0
2023-01-12,iPhone 15 Pro,Смартфоны,Москва,Сайт,Новый,4,83970,335880,109746,3.5,0
2023-01-13,Samsung Galaxy S24,Смартфоны,Москва,Маркетплейс,VIP,2,75607,151214,57800,4.2,0
2023-01-13,Google Pixel 8,Смартфоны,Екатеринбург,Мобильное приложение,VIP,2,52796,105592,39238,4.4,0
2023-01-13,MacBook Air M3,Ноутбуки,Москва,Мобильное приложение,Новый,3,115464,346392,143614,4.0,0
2023-01-14,Кабель USB-C,Аксессуары,Санкт-Петербург,Сайт,Повторный,4,545,2180,1432,4.0,0
2023-01-14,iPhone 15 Pro,Смартфоны,Москва,Маркетплейс,VIP,7,76699,536893,177296,5.0,0
2023-01-15,Стекло защитное,Аксессуары,Москва,Розничный магазин,Повторный,5,740,3700,2426,3.6,0
2023-01-15,AirPods Pro 2,Наушники,Екатеринбург,Сайт,Повторный,1,19267,19267,9563,4.2,0
2023-01-16,MacBook Air M3,Ноутбуки,Екатеринбург,Розничный магазин,Новый,9,91226,821034,338479,4.7,0
2023-01-16,Bose QC45,Наушники,Краснодар,Маркетплейс,Новый,2,20795,41590,19064,4.4,0
2023-01-16,Dell XPS 15,Ноутбуки,Санкт-Петербург,Маркетплейс,Повторный,3,103320,309960,123136,4.2,0
2023-01-17,Samsung Buds2,Наушники,Москва,Маркетплейс,Повторный,10,11047,110470,56710,4.3,0
2023-01-17,Xiaomi Pad 6,Планшеты,Москва,Мобильное приложение,Новый,4,30915,123660,55995,3.4,0
2023-01-18,Стекло защитное,Аксессуары,Казань,Сайт,VIP,3,633,1899,1071,4.3,1
2023-01-18,Samsung Galaxy S24,Смартфоны,Москва,Маркетплейс,Новый,4,74656,298624,97276,4.1,1
2023-01-18,Samsung Buds2,Наушники,Москва,Маркетплейс,Новый,2,12670,25340,13235,4.9,0
2023-01-19,Google Pixel 8,Смартфоны,Москва,Сайт,Повторный,3,67548,202644,78562,3.8,0
2023-01-19,iPhone 15 Pro,Смартфоны,Новосибирск,Розничный магазин,Повторный,1,60987,60987,19895,4.1,0
2023-01-20,Samsung Galaxy S24,Смартфоны,Москва,Сайт,VIP,4,68419,273676,101634,4.4,0
2023-01-20,Кабель USB-C,Аксессуары,Екатеринбург,Маркетплейс,Повторный,4,487,1948,1205,4.4,0
2023-01-20,Samsung Galaxy S24,Смартфоны,Москва,Сайт,Новый,4,67995,271980,100967,,0
2023-01-21,Google Pixel 8,Смартфоны,Москва,Сайт,Новый,7,64057,448399,164341,4.4,0
2023-01-21,Bose QC45,Наушники,Новосибирск,Сайт,Повторный,1,20277,20277,10282,5.0,0
2023-01-22,Samsung Tab S9,Планшеты,Краснодар,Мобильное приложение,Повторный,4,54559,218236,99922,4.6,0
2023-01-22,Google Pixel 8,Смартфоны,Москва,Сайт,Новый,1,61994,61994,20093,3.0,0
2023-01-22,Lenovo ThinkPad X1,Ноутбуки,Екатеринбург,Сайт,Новый,18,99553,1791954,755947,3.9,0
2023-01-23,AirPods Pro 2,Наушники,Санкт-Петербург,Маркетплейс,Новый,4,20334,81336,37335,3.8,0
2023-01-23,Мышь беспроводная,Аксессуары,Казань,Розничный магазин,Новый,2,1912,3824,2152,4.3,0
2023-01-24,Lenovo ThinkPad X1,Ноутбуки,Москва,Сайт,VIP,1,100337,100337,38281,3.9,0
2023-01-24,MacBook Air M3,Ноутбуки,Москва,Маркетплейс,Повторный,2,123158,246316,103719,4.3,0
2023-01-24,MacBook Air M3,Ноутбуки,Санкт-Петербург,Маркетплейс,Повторный,13,118345,1538485,614474,4.0,0
2023-01-25,Зарядка 65W,Аксессуары,Санкт-Петербург,Мобильное приложение,Новый,4,1684,6736,4274,3.7,0
2023-01-25,Samsung Galaxy S24,Смартфоны,Москва,Розничный магазин,Новый,1,66335,66335,21463,4.4,0
2023-01-26,Bose QC45,Наушники,Екатеринбург,Мобильное приложение,Повторный,1,22167,22167,12018,4.0,0
2023-01-26,Google Pixel 8,Смартфоны,Новосибирск,Мобильное приложение,Повторный,10,53677,536770,213542,4.3,0
2023-01-26,Samsung Tab S9,Планшеты,Москва,Сайт,Повторный,5,59667,298335,126597,3.1,0
2023-01-27,Samsung Tab S9,Планшеты,Москва,Мобильное приложение,Повторный,5,64869,324345,125141,3.2,1
2023-01-27,Google Pixel 8,Смартфоны,Новосибирск,Маркетплейс,VIP,5,54566,272830,89139,3.8,0
2023-01-28,Стекло защитное,Аксессуары,Москва,Мобильное приложение,Повторный,2,658,1316,880,5.0,0
2023-01-28,Кабель USB-C,Аксессуары,Казань,Сайт,Повторный,2,448,896,598,3.5,0
2023-01-28,Dell XPS 15,Ноутбуки,Новосибирск,Маркетплейс,VIP,2,78499,156998,57852,4.6,0
2023-01-29,Bose QC45,Наушники,Санкт-Петербург,Розничный магазин,Повторный,10,21614,216140,97043,4.6,1
2023-01-29,Lenovo ThinkPad X1,Ноутбуки,Екатеринбург,Сайт,Новый,3,99567,298701,120206,4.0,0
2023-01-30,Xiaomi 14,Смартфоны,Краснодар,Мобильное приложение,Повторный,4,48374,193496,66901,3.4,0
